"year","event","incident_number","incident_start","incident_end","declaration_date","declaration_url","state","incident_type","valid_ihp_applications","eligible_ihp_applications","ihp_eligibility_rate","ihp_average_award","ihp_total","pa_total","pa_projects_count","cdbg_dr_allocation","frn1_date","frn1_days_since_disaster","frn1_url","frn1_grantee1_name","frn1_grantee1_url","frn1_grantee1_amount","frn1_grantee2_name","frn1_grantee2_url","frn1_grantee2_amount","frn1_grantee3_name","frn1_grantee3_url","frn1_grantee3_amount","frn1_grantee4_name","frn1_grantee4_url","frn1_grantee4_amount","frn1_grantee5_name","frn1_grantee5_url","frn1_grantee5_amount","frn1_grantee6_name","frn1_grantee6_url","frn1_grantee6_amount","frn1_grantee7_name","frn1_grantee7_url","frn1_grantee7_amount","frn1_grantee8_name","frn1_grantee8_url","frn1_grantee8_amount","frn1_grantee9_name","frn1_grantee9_url","frn1_grantee9_amount","frn2_date","frn2_url","frn2_grantee1_name","frn2_grantee1_url","frn2_grantee1_amount","frn2_grantee2_name","frn2_grantee2_url","frn2_grantee2_amount","frn2_grantee3_name","frn2_grantee3_url","frn2_grantee3_amount","frn2_grantee4_name","frn2_grantee4_url","frn2_grantee4_amount","frn3_date","frn3_url","frn3_grantee1_name","frn3_grantee1_url","frn3_grantee1_amount","frn3_grantee2_name","frn3_grantee2_url","frn3_grantee2_amount","frn3_grantee3_name","frn3_grantee3_url","frn3_grantee3_amount","frn3_grantee4_name","frn3_grantee4_url","frn3_grantee4_amount","frn4_date","frn4_url","frn4_grantee1_name","frn4_grantee1_url","frn4_grantee1_amount"
2014,"Kentucky Severe Storms, Flooding, Landslides, and Mudslides",4196,"2014-08-18","2014-08-23","2014-09-30","https://www.fema.gov/disaster/4196","KY","Severe Storm",NA,NA,NA,NA,NA,4749236.93,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Michigan Severe Storms and Flooding",4195,"2014-08-11","2014-08-13","2014-09-25","https://www.fema.gov/disaster/4195","MI","Flood",128159,73255,57.16,2124.51,155631144.18,15215804.37,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hawaii Tropical Storm Iselle",4194,"2014-08-07","2014-08-09","2014-09-12","https://www.fema.gov/disaster/4194","HI","Severe Storm",NA,NA,NA,NA,NA,5915936.65,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"California Earthquake",4193,"2014-08-24","2014-09-07","2014-09-11","https://www.fema.gov/disaster/4193","CA","Earthquake",7091,4264,60.13,2667.34,11373532.86,29794587.77,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"American Samoa Severe Storms, Flooding, and Landslides",4192,"2014-07-29","2014-08-03","2014-09-10","https://www.fema.gov/disaster/4192","AS","Severe Storm",NA,NA,NA,NA,NA,665370.98,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Guam Tropical Storm Halong",4191,"2014-07-28","2014-07-31","2014-09-10","https://www.fema.gov/disaster/4191","GU","Severe Storm",NA,NA,NA,NA,NA,570373.61,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"North Dakota Severe Storms and Flooding",4190,"2014-06-25","2014-07-01","2014-08-19","https://www.fema.gov/disaster/4190","ND","Flood",NA,NA,NA,NA,NA,2352906.01,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Tennessee Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4189,"2014-06-05","2014-06-10","2014-08-13","https://www.fema.gov/disaster/4189","TN","Severe Storm",NA,NA,NA,NA,NA,5444967.6,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Washington Wildfires",4188,"2014-07-09","2014-08-05","2014-08-11","https://www.fema.gov/disaster/4188","WA","Fire",NA,NA,NA,NA,NA,19903187.12,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Iowa Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4187,"2014-06-26","2014-07-07","2014-08-05","https://www.fema.gov/disaster/4187","IA","Severe Storm",NA,NA,NA,NA,NA,14271027.07,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"South Dakota Severe Storms, Tornadoes, and Flooding",4186,"2014-06-13","2014-06-20","2014-07-28","https://www.fema.gov/disaster/4186","SD","Flood",NA,NA,NA,NA,NA,10621884.31,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Nebraska Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4185,"2014-06-01","2014-06-04","2014-07-28","https://www.fema.gov/disaster/4185","NE","Severe Storm",NA,NA,NA,NA,NA,3837595.3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Iowa Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4184,"2014-06-14","2014-06-23","2014-07-24","https://www.fema.gov/disaster/4184","IA","Flood",NA,NA,NA,NA,NA,17549871.85,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Nebraska Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4183,"2014-06-14","2014-06-21","2014-07-24","https://www.fema.gov/disaster/4183","NE","Severe Storm",NA,NA,NA,NA,NA,12097027.25,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Minnesota Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4182,"2014-06-11","2014-07-11","2014-07-21","https://www.fema.gov/disaster/4182","MN","Flood",NA,NA,NA,NA,NA,39545714.11,1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Iowa Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4181,"2014-06-03","2014-06-04","2014-07-14","https://www.fema.gov/disaster/4181","IA","Severe Storm",NA,NA,NA,NA,NA,5531069.85,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"New York Severe Storms and Flooding",4180,"2014-05-13","2014-05-22","2014-07-08","https://www.fema.gov/disaster/4180","NY","Severe Storm",NA,NA,NA,NA,NA,30292725.37,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Nebraska Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4179,"2014-05-11","2014-05-12","2014-06-17","https://www.fema.gov/disaster/4179","NE","Tornado",NA,NA,NA,NA,NA,9799187.43,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Vermont Severe Storms and Flooding",4178,"2014-04-15","2014-04-18","2014-06-11","https://www.fema.gov/disaster/4178","VT","Flood",NA,NA,NA,NA,NA,1664900.52,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Florida Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4177,"2014-04-28","2014-05-06","2014-05-06","https://www.fema.gov/disaster/4177","FL","Severe Storm",14863,7101,47.78,4937.75,35062955.9,126896530.59,872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Alabama Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4176,"2014-04-28","2014-05-05","2014-05-02","https://www.fema.gov/disaster/4176","AL","Severe Storm",19345,7378,38.14,3035.27,22394257.37,34914043.03,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Mississippi Severe Storms, Tornadoes, and Flooding",4175,"2014-04-28","2014-05-03","2014-04-30","https://www.fema.gov/disaster/4175","MS","Severe Storm",5133,943,18.37,6201.16,5847689.28,87324475.11,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Arkansas Severe Storms,tornadoes, and Flooding",4174,"2014-04-27","2014-04-27","2014-04-29","https://www.fema.gov/disaster/4174","AR","Severe Storm",1357,341,25.13,8918.28,3041132.24,9410016.22,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indiana Severe Winter Storm and Snowstorm",4173,"2014-01-05","2014-01-09","2014-04-22","https://www.fema.gov/disaster/4173","IN","Severe Storm",NA,NA,NA,NA,NA,9559080.54,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Montana Ice Jams and Flooding",4172,"2014-03-01","2014-03-16","2014-04-17","https://www.fema.gov/disaster/4172","MT","Flood",NA,NA,NA,NA,NA,1681613.56,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Tennessee Severe Winter Storm",4171,"2014-03-02","2014-03-04","2014-04-11","https://www.fema.gov/disaster/4171","TN","Severe Ice Storm",NA,NA,NA,NA,NA,5872629.66,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Maryland Snowstorm",4170,"2014-02-12","2014-02-13","2014-04-10","https://www.fema.gov/disaster/4170","MD","Severe Storm",NA,NA,NA,NA,NA,8674514.02,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Oregon Severe Winter Storm",4169,"2014-02-06","2014-02-10","2014-04-04","https://www.fema.gov/disaster/4169","OR","Severe Storm",NA,NA,NA,NA,NA,5385576.42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Washington Flooding and Mudslides",4168,"2014-03-22","2014-04-28","2014-04-02","https://www.fema.gov/disaster/4168","WA","Mud/Landslide",1022,595,58.22,3515.05,2091456.75,28624712.03,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"North Carolina Severe Winter Storm",4167,"2014-03-06","2014-03-07","2014-03-31","https://www.fema.gov/disaster/4167","NC","Severe Ice Storm",NA,NA,NA,NA,NA,40860929.64,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"South Carolina Severe Winter Storm",4166,"2014-02-10","2014-02-14","2014-03-12","https://www.fema.gov/disaster/4166","SC","Severe Ice Storm",NA,NA,NA,NA,NA,210497696.58,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Georgia Severe Winter Storm",4165,"2014-02-10","2014-02-14","2014-03-06","https://www.fema.gov/disaster/4165","GA","Severe Ice Storm",NA,NA,NA,NA,NA,43147662.75,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Oklahoma Severe Winter Storm",4164,"2013-12-05","2013-12-06","2014-01-30","https://www.fema.gov/disaster/4164","OK","Severe Storm",NA,NA,NA,NA,NA,3959251.95,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Vermont Severe Winter Storms",4163,"2013-12-20","2013-12-26","2014-01-29","https://www.fema.gov/disaster/4163","VT","Severe Ice Storm",NA,NA,NA,NA,NA,6338121.87,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Alaska Severe Storms, Straight-Line Winds, and Flooding",4162,"2013-11-05","2013-11-14","2014-01-23","https://www.fema.gov/disaster/4162","AK","Severe Storm",NA,NA,NA,NA,NA,28890769.11,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Alaska Flooding",4161,"2013-10-27","2013-10-28","2014-01-16","https://www.fema.gov/disaster/4161","AK","Flood",NA,NA,NA,NA,NA,1802953.09,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Arkansas Severe Winter Storm",4160,"2013-12-05","2013-12-06","2014-01-06","https://www.fema.gov/disaster/4160","AR","Severe Ice Storm",NA,NA,NA,NA,NA,5501202.69,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Texas Severe Storms and Flooding",4159,"2013-10-30","2013-10-31","2013-12-20","https://www.fema.gov/disaster/4159","TX","Severe Storm",NA,NA,NA,NA,NA,7753470.35,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"California Rim Fire",4158,"2013-08-17","2013-10-24","2013-12-13","https://www.fema.gov/disaster/4158","CA","Fire",NA,NA,NA,NA,NA,24906594.21,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Illinois Severe Storms, Straight-Line Winds, and Tornadoes",4157,"2013-11-17","2013-11-17","2013-11-26","https://www.fema.gov/disaster/4157","IL","Tornado",2550,381,14.94,7502.73,2858538.97,NA,NA,5200000,"2013-12-16",20,"https://www.govinfo.gov/content/pkg/FR-2013-12-16/pdf/2013-29834.pdf","State of Illinois","https://dceo.illinois.gov/communityservices/disasterrecovery/2013cdbgdr.html",1800000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-06-03","https://www.govinfo.gov/content/pkg/FR-2014-06-03/pdf/2014-12709.pdf","State of Illinois","https://dceo.illinois.gov/communityservices/disasterrecovery/2013cdbgdr.html",3400000,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2013,"Nebraska Severe Storms, Winter Storms, Tornadoes and Flooding",4156,"2013-10-02","2013-10-06","2013-11-26","https://www.fema.gov/disaster/4156","NE","Severe Storm",NA,NA,NA,NA,NA,2623723.5,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"South Dakota Severe Winter Storm, Snowstorm, and Flooding",4155,"2013-10-03","2013-10-16","2013-11-08","https://www.fema.gov/disaster/4155","SD","Severe Storm",NA,NA,NA,NA,NA,43148257.98,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"North Dakota Severe Winter Storm",4154,"2013-10-04","2013-10-05","2013-10-31","https://www.fema.gov/disaster/4154","ND","Severe Storm",NA,NA,NA,NA,NA,4381205.02,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"North Carolina Severe Storms, Flooding, Landslides, Mudslides",4153,"2013-07-27","2013-07-27","2013-10-29","https://www.fema.gov/disaster/4153","NC","Flood",NA,NA,NA,NA,NA,8328562.26,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
