"year","event","incident_number","incident_start","incident_end","declaration_date","declaration_url","state","incident_type","valid_ihp_applications","eligible_ihp_applications","ihp_eligibility_rate","ihp_average_award","ihp_total","pa_total","pa_projects_count","cdbg_dr_allocation","frn1_date","frn1_days_since_disaster","frn1_url","frn1_grantee1_name","frn1_grantee1_url","frn1_grantee1_amount","frn1_grantee2_name","frn1_grantee2_url","frn1_grantee2_amount","frn1_grantee3_name","frn1_grantee3_url","frn1_grantee3_amount","frn1_grantee4_name","frn1_grantee4_url","frn1_grantee4_amount","frn1_grantee5_name","frn1_grantee5_url","frn1_grantee5_amount","frn1_grantee6_name","frn1_grantee6_url","frn1_grantee6_amount","frn1_grantee7_name","frn1_grantee7_url","frn1_grantee7_amount","frn1_grantee8_name","frn1_grantee8_url","frn1_grantee8_amount","frn1_grantee9_name","frn1_grantee9_url","frn1_grantee9_amount","frn2_date","frn2_url","frn2_grantee1_name","frn2_grantee1_url","frn2_grantee1_amount","frn2_grantee2_name","frn2_grantee2_url","frn2_grantee2_amount","frn2_grantee3_name","frn2_grantee3_url","frn2_grantee3_amount","frn2_grantee4_name","frn2_grantee4_url","frn2_grantee4_amount","frn3_date","frn3_url","frn3_grantee1_name","frn3_grantee1_url","frn3_grantee1_amount","frn3_grantee2_name","frn3_grantee2_url","frn3_grantee2_amount","frn3_grantee3_name","frn3_grantee3_url","frn3_grantee3_amount","frn3_grantee4_name","frn3_grantee4_url","frn3_grantee4_amount","frn4_date","frn4_url","frn4_grantee1_name","frn4_grantee1_url","frn4_grantee1_amount"
2024,"Oregon Severe Winter Storms, Straight-Line Winds, Landslides, and Mudslides",4768,"2024-01-10","2024-01-22","2024-04-13","https://www.fema.gov/disaster/4768","OR","Severe Storm",NA,NA,NA,NA,NA,21862323.8,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Alaska Severe Storm, Flooding, and Landslides",4767,"2023-11-20","2023-11-20","2024-04-06","https://www.fema.gov/disaster/4767","AK","Mud/Landslide",NA,NA,NA,NA,NA,202549.58,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Rhode Island Severe Storms and Flooding",4766,"2024-01-09","2024-01-13","2024-03-20","https://www.fema.gov/disaster/4766","RI","Severe Storm",3284,2397,72.99,5418.65,12988493.82,4328610.1,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Rhode Island Severe Storm and Flooding",4765,"2023-12-17","2023-12-19","2024-03-20","https://www.fema.gov/disaster/4765","RI","Severe Storm",1814,1258,69.35,5055.53,6359859.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Maine Severe Storms and Flooding",4764,"2024-01-09","2024-01-13","2024-03-20","https://www.fema.gov/disaster/4764","ME","Severe Storm",2456,826,33.63,6399.36,5285874.32,35837274.22,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Alaska Severe Storm, Landslides, and Mudslides",4763,"2023-11-20","2023-11-20","2024-03-15","https://www.fema.gov/disaster/4763","AK","Mud/Landslide",27,8,29.63,9622.47,76979.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Vermont Severe Storm and Flooding",4762,"2023-12-18","2023-12-19","2024-03-02","https://www.fema.gov/disaster/4762","VT","Severe Storm",NA,NA,NA,NA,NA,6339649.58,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"New Hampshire Severe Storm and Flooding",4761,"2023-12-17","2023-12-21","2024-02-27","https://www.fema.gov/disaster/4761","NH","Severe Storm",NA,NA,NA,NA,NA,3294379.56,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"North Dakota Severe Winter Storm and Straight-Line Winds",4760,"2023-12-25","2023-12-27","2024-02-15","https://www.fema.gov/disaster/4760","ND","Winter Storm",NA,NA,NA,NA,NA,10794319.72,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Washington Wildfires",4759,"2023-08-18","2023-08-25","2024-02-15","https://www.fema.gov/disaster/4759","WA","Fire",580,175,30.17,20458.58,3580250.78,4439176.8,19,44152000,"2025-01-16",336,"https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00943.pdf","Spokane County","",44152000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2024,"California Severe Storm and Flooding",4758,"2024-01-21","2024-01-23","2024-02-19","https://www.fema.gov/disaster/4758","CA","Flood",7653,3242,42.36,8516.6,27610812.94,NA,NA,138865667,"2025-01-16",332,"https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00943.pdf","State of California","",138865667,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2023,"Michigan Severe Storms, Tornadoes, and Flooding",4757,"2023-08-24","2023-08-26","2024-02-08","https://www.fema.gov/disaster/4757","MI","Flood",147181,116794,79.35,3737.61,436530122.81,NA,NA,460816000,"2025-01-16",343,"https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00943.pdf","State of Michigan","",43570000,"Detroit, MI","",346864000,"Wayne County","",70382000,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2023,"West Virginia Severe Storms, Flooding, Landslides, and Mudslides",4756,"2023-08-28","2023-08-30","2024-01-30","https://www.fema.gov/disaster/4756","WV","Flood",615,326,53.01,10345.87,3372753.83,2643714.54,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
