"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"Kansas","Kansas District 3",3,"Sharice Davids","Democrat",2,700,350,2,"4671","Congressional District 3","20"
"Kansas","Kansas District 4",4,"Ron Estes","Republican",0,0,NA,0,NA,"Congressional District 4","20"
"Kentucky","Kentucky District 1",1,"James Comer","Republican",12571,27467602.26,2184.99739559303,91,"4595,4630,4663,4671,4782,4804,4860,4864,4875","Congressional District 1","21"
"Kentucky","Kentucky District 2",2,"Brett Guthrie","Republican",8022,18646709.74,2324.44648965345,106,"4595,4607,4611,4630,4663,4782,4804,4860,4864,4875","Congressional District 2","21"
"Kentucky","Kentucky District 3",3,"Morgan McGarvey","Democrat",1091,2739523.06,2511.02021998167,31,"4607,4630,4663,4782,4864,4875","Congressional District 3","21"
"Kentucky","Kentucky District 4",4,"Thomas Massie","Republican",1110,5645210.58,5085.7752972973,56,"4595,4630,4663,4782,4804,4864","Congressional District 4","21"
"Kentucky","Kentucky District 5",5,"Harold Rogers","Republican",29774,194264873.69,6524.64813898032,278,"4595,4630,4663,4671,4782,4804,4860,4864,4875","Congressional District 5","21"
"Kentucky","Kentucky District 6",6,"Andy Barr","Republican",1474,7660750.28,5197.25256445047,40,"4595,4611,4630,4663,4782,4860,4864","Congressional District 6","21"
"Louisiana","Louisiana District 1",1,"Steve Scalise","Republican",283522,508309473.04,1792.83961399821,57,"4611,4798,4817","Congressional District 1","22"
"Louisiana","Louisiana District 2",2,"Troy A. Carter","Democrat",280331,442817495.45,1579.62371428775,58,"4590,4606,4611,4798,4817","Congressional District 2","22"
"Louisiana","Louisiana District 3",3,"Clay Higgins","Republican",28228,29743976.63,1053.70471269661,50,"4590,4606,4611,4817,4856","Congressional District 3","22"
"Louisiana","Louisiana District 4",4,"Mike Johnson","Republican",7498,5679144.17,757.421201653774,100,"4590,4606,4611","Congressional District 4","22"
"Louisiana","Louisiana District 5",5,"Julia Letlow","Republican",60876,99228878.9,1630.01640876536,116,"4590,4606,4611,4671,4798","Congressional District 5","22"
"Louisiana","Louisiana District 6",6,"Cleo Fields","Democrat",207041,268216250.84,1295.47408890027,58,"4590,4606,4611,4798,4817","Congressional District 6","22"
"Maine","Maine District 1",1,"Chellie Pingree","Democrat",1838,4184896.36,2276.87505984766,120,"4671,4754,4764","Congressional District 1","23"
"Maine","Maine District 2",2,"Jared F. Golden","Democrat",2961,7882316.06,2662.04527524485,173,"4754,4764","Congressional District 2","23"
"Maryland","Maryland District 1",1,"Andy Harris","Republican",0,0,NA,0,NA,"Congressional District 1","24"
"Maryland","Maryland District 2",2,"Johnny Olszewski, Jr.","Democrat",0,0,NA,0,NA,"Congressional District 2","24"
"Maryland","Maryland District 3",3,"Sarah Elfreth","Democrat",0,0,NA,0,NA,"Congressional District 3","24"
"Maryland","Maryland District 4",4,"Glenn Ivey","Democrat",1,0,0,1,"4611","Congressional District 4","24"
"Maryland","Maryland District 5",5,"Steny H. Hoyer","Democrat",0,0,NA,0,NA,"Congressional District 5","24"
"Maryland","Maryland District 6",6,"April McClain Delaney","Democrat",0,0,NA,0,NA,"Congressional District 6","24"
"Maryland","Maryland District 7",7,"Kweisi Mfume","Democrat",0,0,NA,0,NA,"Congressional District 7","24"
"Maryland","Maryland District 8",8,"Jamie Raskin","Democrat",0,0,NA,0,NA,"Congressional District 8","24"
"Massachusetts","Massachusetts District 1",1,"Richard E. Neal","Democrat",10,30459.26,3045.926,6,"4720,4780","Congressional District 1","25"
"Massachusetts","Massachusetts District 2",2,"James P. McGovern","Democrat",909,5124416.49,5637.42188118812,27,"4671,4780","Congressional District 2","25"
"Massachusetts","Massachusetts District 3",3,"Lori Trahan","Democrat",24,77387.51,3224.47958333333,6,"4780","Congressional District 3","25"
"Massachusetts","Massachusetts District 4",4,"Jake Auchincloss","Democrat",450,2381866.7,5293.03711111111,15,"4780","Congressional District 4","25"
"Massachusetts","Massachusetts District 5",5,"Katherine M. Clark","Democrat",0,0,NA,0,NA,"Congressional District 5","25"
"Massachusetts","Massachusetts District 6",6,"Seth Moulton","Democrat",1,0,0,1,"4671","Congressional District 6","25"
"Massachusetts","Massachusetts District 7",7,"Ayanna Pressley","Democrat",0,0,NA,0,NA,"Congressional District 7","25"
"Massachusetts","Massachusetts District 8",8,"Stephen F. Lynch","Democrat",2,4181.24,2090.62,2,"4780","Congressional District 8","25"
"Massachusetts","Massachusetts District 9",9,"William R. Keating","Democrat",25,53345.12,2133.8048,10,"4671,4780","Congressional District 9","25"
"Michigan","Michigan District 1",1,"Jack Bergman","Republican",0,0,NA,0,NA,"Congressional District 1","26"
"Michigan","Michigan District 2",2,"John R. Moolenaar","Republican",203,59039.6,290.835467980296,21,"4607,4757","Congressional District 2","26"
"Michigan","Michigan District 3",3,"Hillary J. Scholten","Democrat",711,328013.61,461.341223628692,19,"4757","Congressional District 3","26"
"Michigan","Michigan District 4",4,"Bill Huizenga","Republican",1,0,0,1,"4607","Congressional District 4","26"
"Michigan","Michigan District 5",5,"Tim Walberg","Republican",1242,3354291.24,2700.71758454106,16,"4607,4663,4757","Congressional District 5","26"
"Michigan","Michigan District 6",6,"Debbie Dingell","Democrat",4852,9228781.23,1902.05713726298,29,"4607,4757","Congressional District 6","26"
"Michigan","Michigan District 7",7,"Tom Barrett","Republican",2185,1985779.78,908.823697940503,44,"4607,4757","Congressional District 7","26"
"Michigan","Michigan District 8",8,"Kristen McDonald Rivet","Democrat",1,0,0,1,"4607","Congressional District 8","26"
"Michigan","Michigan District 9",9,"Lisa C. McClain","Republican",1676,2764702.97,1649.58411097852,30,"4607,4757","Congressional District 9","26"
"Michigan","Michigan District 10",10,"John James","Republican",12649,25214907.94,1993.4309384141,26,"4607,4757","Congressional District 10","26"
