"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"California","California District 52",52,"Juan Vargas","Democratic",3875,15584915.42,4021.91365677419,16,"4610,4707,4715,4758","Congressional District 52","06"
"Colorado","Colorado District 1",1,"Diana DeGette","Democratic",0,0,NA,0,NA,"Congressional District 1","08"
"Colorado","Colorado District 2",2,"Joe Neguse","Democratic",3193,2134206.55,668.401675540244,15,"4634,4728","Congressional District 2","08"
"Colorado","Colorado District 3",3,"Jeff Hurd","Republican",0,0,NA,0,NA,"Congressional District 3","08"
"Colorado","Colorado District 4",4,"Lauren Boebert","Republican",0,0,NA,0,NA,"Congressional District 4","08"
"Colorado","Colorado District 5",5,"Jeff Crank","Republican",0,0,NA,0,NA,"Congressional District 5","08"
"Colorado","Colorado District 6",6,"Jason Crow","Democratic",0,0,NA,0,NA,"Congressional District 6","08"
"Colorado","Colorado District 7",7,"Brittany Pettersen","Democratic",1,0,0,1,"4634","Congressional District 7","08"
"Colorado","Colorado District 8",8,"Gabe Evans","Republican",7,500,71.4285714285714,1,"4634","Congressional District 8","08"
"Connecticut","Connecticut District 1",1,"John B. Larson","Democratic",15,1050,70,9,"4629,4820","Congressional District 1","09"
"Connecticut","Connecticut District 2",2,"Joe Courtney","Democratic",225,619140.63,2751.73613333333,24,"4629,4671,4820","Congressional District 2","09"
"Connecticut","Connecticut District 3",3,"Rosa DeLauro","Democratic",635,2110202.39,3323.15337007874,32,"4629,4671,4673,4820","Congressional District 3","09"
"Connecticut","Connecticut District 4",4,"Jim Himes","Democratic",2865,11666138.18,4071.9504991274,36,"4629,4671,4820","Congressional District 4","09"
"Connecticut","Connecticut District 5",5,"Jahana Hayes","Democratic",1273,5627388.54,4420.57230164965,35,"4629,4671,4820","Congressional District 5","09"
"Delaware","Delaware At-Large",0,"Sarah McBride","Democratic",0,0,NA,0,NA,"Congressional District (at Large)","10"
"District of Columbia","District of Columbia District 98",98,NA,NA,0,0,NA,0,NA,"Delegate District (at Large)","11"
"Florida","Florida District 1",1,"Vacant",NA,311,2800,9.0032154340836,36,"4673,4675,4834","Congressional District 1","12"
"Florida","Florida District 2",2,"Neal Dunn","Republican",40187,53276493.75,1325.71462786473,71,"4673,4675,4680,4734,4794,4806,4828,4834","Congressional District 2","12"
"Florida","Florida District 3",3,"Kat Cammack","Republican",81799,105082905.75,1284.64780437414,74,"4671,4673,4675,4680,4734,4806,4828,4834","Congressional District 3","12"
